school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,schoolsup,famsup,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,G1_math,G2_math,G3_math,G1_por,G2_por,G3_por,drop_math,drop_por
GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,mother,2,yes,yes,yes,yes,no,3,1,2,1,1,1,7,10,10,13,13,13,0,0
GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,mother,1,yes,yes,no,yes,yes,3,3,4,2,4,5,8,6,5,13,11,11,0,0
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,mother,1,yes,yes,yes,yes,no,4,3,1,1,1,2,14,13,13,14,13,12,0,0
GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,mother,1,yes,yes,yes,yes,no,4,3,2,1,1,5,10,9,8,10,11,10,0,0
GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes,other,2,no,yes,yes,yes,yes,4,2,1,2,3,3,10,10,10,13,13,13,0,0
GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,mother,1,yes,yes,yes,yes,no,4,3,2,1,1,5,12,12,11,11,12,12,0,0
GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes,father,2,no,yes,no,yes,yes,4,2,2,2,2,5,12,0,0,10,11,12,1,0
GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,mother,2,yes,yes,no,yes,no,4,1,3,1,3,4,8,9,8,11,10,11,0,0
GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,father,2,no,yes,no,yes,no,4,4,2,2,3,3,16,16,16,15,15,15,0,0
GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,father,1,yes,no,no,yes,no,4,3,3,1,1,4,10,11,11,10,10,10,0,0
GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,mother,1,no,yes,yes,yes,no,4,3,2,1,1,1,14,15,15,15,14,15,0,0
GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes,mother,3,no,yes,yes,yes,yes,4,3,3,1,2,4,8,0,0,11,12,13,1,0
GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,father,1,no,yes,yes,yes,no,4,3,2,2,3,4,9,10,10,13,12,12,0,0
GP,F,15,U,GT3,T,1,1,other,services,course,yes,yes,father,1,no,yes,no,yes,no,4,4,2,1,2,5,8,11,11,12,12,12,0,0
GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes,mother,1,no,yes,no,yes,no,4,3,2,1,1,5,10,11,11,13,12,13,0,0
GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes,mother,1,no,no,no,yes,no,3,2,3,1,2,1,16,15,15,14,14,14,0,0
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,father,3,no,yes,yes,yes,no,5,2,2,1,1,4,10,12,12,10,12,13,0,0
GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,mother,1,yes,yes,no,yes,no,5,1,2,1,1,3,7,8,8,10,10,10,0,0
GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,father,2,no,yes,yes,yes,no,3,5,1,1,1,5,8,7,6,11,11,11,0,0
GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes,father,1,no,yes,no,yes,no,3,3,2,1,1,3,6,7,0,11,11,11,1,0
